id,year,sport,sex,nationality,medal,name
0,1976,Aquatics,male,USA,Gold, Philip George Boggs
1,1976,Aquatics,female,USA,Gold, Jennifer Kay Chandler
2,1976,Aquatics,female,USA,Gold, Shirley Farber Babashoff
3,1976,Aquatics,male,USA,Gold, Brian Stuart Goodell
4,1976,Aquatics,male,USA,Gold, Matthew Haynes Vogel
5,1976,Aquatics,male,USA,Gold, John Phillips Naber
6,1976,Aquatics,male,USA,Gold, John Phillips Naber
7,1976,Aquatics,male,USA,Gold, James Paul Montgomery
8,1976,Aquatics,female,USA,Gold, Kim Marie Peyton
9,1976,Aquatics,male,USA,Gold, James Paul Montgomery
10,1976,Aquatics,male,USA,Gold, Michael Lee Bruner
11,1976,Aquatics,male,USA,Gold, John Phillips Naber
12,1976,Aquatics,male,USA,Gold, Matthew Haynes Vogel
13,1976,Aquatics,male,USA,Gold, Bruce Macfarlane Furniss
14,1976,Aquatics,male,USA,Gold, Rodney Strachan
15,1976,Aquatics,male,USA,Gold, Brian Stuart Goodell
16,1976,Aquatics,male,USA,Gold, James Paul Montgomery
17,1976,Aquatics,female,USA,Gold, Wendy Lansbach Boglioli
18,1976,Aquatics,male,USA,Gold, Michael Lee Bruner
19,1976,Aquatics,male,USA,Gold, John Phillips Naber
20,1976,Aquatics,female,USA,Gold, Gillian Ann Sterkel
21,1976,Aquatics,male,USA,Gold, John Frederick Hencken
22,1976,Aquatics,male,USA,Gold, John Frederick Hencken
23,1976,Aquatics,male,USA,Gold, Bruce Macfarlane Furniss
24,1976,Archery,female,USA,Gold, Luann Marie Ryon
25,1976,Archery,male,USA,Gold, Darrell Owen Pace
26,1976,Athletics,male,USA,Gold, Arnie Robinson
27,1976,Athletics,male,USA,Gold, Herman Ronald Frazier
28,1976,Athletics,male,USA,Gold, Steven Earl Riddick
29,1976,Athletics,male,USA,Gold, Maxwell Lander Parks
30,1976,Athletics,male,USA,Gold, Edwin Moses
31,1976,Athletics,male,USA,Gold, William Bruce Jenner
32,1976,Athletics,male,USA,Gold, Millard Frank Jr. Hampton
33,1976,Athletics,male,USA,Gold, Frederick Vaughn Newhouse
34,1976,Athletics,male,USA,Gold, Harvey Edward Glance
35,1976,Athletics,male,USA,Gold, Benjamin Gene Brown
36,1976,Athletics,male,USA,Gold, Malcolm Maurice Wilkins
37,1976,Athletics,male,USA,Gold, John Wesley Jones
38,1976,Basketball,male,USA,Gold, Scott Glenn May
39,1976,Basketball,male,USA,Gold, Mitchell Kupchak
40,1976,Basketball,male,USA,Gold, Adrian Delano Dantley
41,1976,Basketball,male,USA,Gold, Steven Sheppard
42,1976,Basketball,male,USA,Gold," Philip Jackson, Jr. Ford"
43,1976,Basketball,male,USA,Gold, Kenneth Alan Carr
44,1976,Basketball,male,USA,Gold, Walter Paul Davis
45,1976,Basketball,male,USA,Gold, Ernest Grunfeld
46,1976,Basketball,male,USA,Gold, Thomas Joseph Lagarde
47,1976,Basketball,male,USA,Gold, William Quinn Buckner
48,1976,Basketball,male,USA,Gold, Phillip Gregory Hubbard
49,1976,Basketball,male,USA,Gold, Michael Taylor (Tate) Armstrong
50,1976,Boxing,male,USA,Gold," Howard Edward, Jr. Davis"
51,1976,Boxing,male,USA,Gold," Leonard, Jr. Spinks"
52,1976,Boxing,male,USA,Gold, Ray Charles Leonard
53,1976,Boxing,male,USA,Gold, Michael L. Spinks
54,1976,Boxing,male,USA,Gold, Leonard Randolph
55,1976,Equestrian,male,USA,Gold, John Michael Plumb
56,1976,Equestrian,male,USA,Gold, Bruce Oram Davidson
57,1976,Equestrian,male,USA,Gold, Edmund Sloane Coffin
58,1976,Equestrian,female,USA,Gold, Mary Anne Tauskey
59,1976,Equestrian,male,USA,Gold, Edmund Sloane Coffin
60,1976,Shooting,male,USA,Gold, Donald Stanley Haldeman
61,1976,Shooting,male,USA,Gold, Lance Robert Bassham
62,1976,Wrestling,male,USA,Gold, John Allan Peterson
63,1984,Aquatics,male,USA,Gold, Gregory Louganis
64,1984,Aquatics,male,USA,Gold, Gregory Louganis
65,1984,Aquatics,female,USA,Gold, Theresa Andrews
66,1984,Aquatics,male,USA,Gold, Richard John Carey
67,1984,Aquatics,female,USA,Gold, Mary T. Meagher
68,1984,Aquatics,male,USA,Gold, Steven K. Lundquist
69,1984,Aquatics,male,USA,Gold, Pablo Morales
70,1984,Aquatics,male,USA,Gold, Jeffrey James Float
71,1984,Aquatics,female,USA,Gold, Tracy Anne Caulkins
72,1984,Aquatics,male,USA,Gold, Steven K. Lundquist
73,1984,Aquatics,male,USA,Gold, Ambrose Iv Gaines
74,1984,Aquatics,female,USA,Gold, Tiffany Lisa Cohen
75,1984,Aquatics,male,USA,Gold, Richard John Carey
76,1984,Aquatics,female,USA,Gold, Theresa Andrews
77,1984,Aquatics,male,USA,Gold, Michael Steward Heath
78,1984,Aquatics,female,USA,Gold, Nancy Lynn Hogshead
79,1984,Aquatics,male,USA,Gold, Ambrose Iv Gaines
80,1984,Aquatics,male,USA,Gold, Richard John Carey
81,1984,Aquatics,male,USA,Gold, Ambrose Iv Gaines
82,1984,Aquatics,female,USA,Gold, Tracy Anne Caulkins
83,1984,Aquatics,male,USA,Gold, Michael Jon O'brien
84,1984,Aquatics,female,USA,Gold, Dara Torres
85,1984,Aquatics,female,USA,Gold, Tiffany Lisa Cohen
86,1984,Aquatics,female,USA,Gold, Nancy Lynn Hogshead
87,1984,Aquatics,male,USA,Gold, Michael Steward Heath
88,1984,Aquatics,female,USA,Gold, Mary T. Meagher
89,1984,Aquatics,female,USA,Gold, Tracy Anne Caulkins
90,1984,Aquatics,male,USA,Gold, Lawrence Bruce Hayes
91,1984,Aquatics,female,USA,Gold, Nancy Lynn Hogshead
92,1984,Aquatics,female,USA,Gold, Carolyn Steinseifer
93,1984,Aquatics,female,USA,Gold, Carolyn Steinseifer
94,1984,Aquatics,female,USA,Gold, Mary Alice Wayte
95,1984,Aquatics,male,USA,Gold, David Erwin Larson
96,1984,Aquatics,female,USA,Gold, Jenna Leigh Johnson
97,1984,Aquatics,male,USA,Gold, Matthew Biondi
98,1984,Aquatics,male,USA,Gold, Christopher Carl Cavanaugh
99,1984,Aquatics,male,USA,Gold, George Thomas Dicarlo
100,1984,Aquatics,female,USA,Gold, Mary T. Meagher
101,1984,Aquatics,female,USA,Gold, Tracie Lehuanani Ruiz-conforto
102,1984,Aquatics,female,USA,Gold, Tracie Lehuanani Ruiz-conforto
103,1984,Aquatics,female,USA,Gold, Candace Costie
104,1984,Archery,male,USA,Gold, Darrell Owen Pace
105,1984,Athletics,female,USA,Gold, Valerie Ann Brisco-hooks
106,1984,Athletics,female,USA,Gold, Lillie Mae Leatherwood-king
107,1984,Athletics,male,USA,Gold, Samuel Louis Graddy
108,1984,Athletics,female,USA,Gold, Alice Regina Brown
109,1984,Athletics,male,USA,Gold, Carl Lewis
110,1984,Athletics,female,USA,Gold, Valerie Ann Brisco-hooks
111,1984,Athletics,female,USA,Gold, Valerie Ann Brisco-hooks
112,1984,Athletics,female,USA,Gold, Evelyn Ashford
113,1984,Athletics,male,USA,Gold, Sunder L. Nix
114,1984,Athletics,male,USA,Gold, Carl Lewis
115,1984,Athletics,male,USA,Gold, Antonio Ricardo Mckay
116,1984,Athletics,male,USA,Gold, Ronald James Brown
117,1984,Athletics,male,USA,Gold, Carl Lewis
118,1984,Athletics,female,USA,Gold, Sherryl Frances Howard
119,1984,Athletics,female,USA,Gold, Benita Fitzgerald-brown
120,1984,Athletics,female,USA,Gold, Jeanette Bolden
121,1984,Athletics,male,USA,Gold, Alonzo C. Babers
122,1984,Athletics,male,USA,Gold, Alonzo C. Babers
123,1984,Athletics,male,USA,Gold, Raymond Armstead
124,1984,Athletics,female,USA,Gold, Joan Benoit
125,1984,Athletics,female,USA,Gold, Chandra Danette Cheeseborough
126,1984,Athletics,male,USA,Gold, Edwin Moses
127,1984,Athletics,female,USA,Gold, Chandra Danette Cheeseborough
128,1984,Athletics,male,USA,Gold, Calvin Smith
129,1984,Athletics,male,USA,Gold, Alfredrick Alphonzo Joyner
130,1984,Athletics,male,USA,Gold, Roger Kingdom
131,1984,Athletics,male,USA,Gold, Carl Lewis
132,1984,Athletics,female,USA,Gold, Evelyn Ashford
133,1984,Basketball,male,USA,Gold, Christopher Paul Mullin
134,1984,Basketball,female,USA,Gold, Teresa Edwards
135,1984,Basketball,female,USA,Gold, Cheryl Deann Miller
136,1984,Basketball,male,USA,Gold, Joseph William Kleine
137,1984,Basketball,female,USA,Gold, Kimberly Duane Mulkey
138,1984,Basketball,female,USA,Gold, Catherine La Ora Boswell
139,1984,Basketball,female,USA,Gold, Pamela Denise Mcgee
140,1984,Basketball,male,USA,Gold, Michael Jordan
141,1984,Basketball,male,USA,Gold, Steven Todd Alford
142,1984,Basketball,female,USA,Gold, Lynette Woodard
143,1984,Basketball,male,USA,Gold, Wayman Lawrence Tisdale
144,1984,Basketball,female,USA,Gold, Carol Jean Menken-schaudt
145,1984,Basketball,male,USA,Gold, Alvin Cyrrale Robertson
146,1984,Basketball,male,USA,Gold, Jon Francis Koncak
147,1984,Basketball,female,USA,Gold, Cindy Jo. Noble
148,1984,Basketball,male,USA,Gold, Leonard III Wood
149,1984,Basketball,female,USA,Gold," Ludi ""Lea"" Henry"
150,1984,Basketball,male,USA,Gold, Vernon Fleming
151,1984,Basketball,male,USA,Gold, Samuel Bruce Perkins
152,1984,Basketball,male,USA,Gold, Jeffrey Stephen Turner
153,1984,Basketball,female,USA,Gold, Denise Marie Curry
154,1984,Basketball,female,USA,Gold, Janice Faye Lawrence
155,1984,Basketball,female,USA,Gold, Anne Theresa Donovan
156,1984,Basketball,male,USA,Gold, Patrick Aloysius Ewing
157,1984,Boxing,male,USA,Gold, Meldrick Taylor
158,1984,Boxing,male,USA,Gold, Mark Anthony Breland
159,1984,Boxing,male,USA,Gold, Pernell Whitaker
160,1984,Boxing,male,USA,Gold, Jeremy Louis Page
161,1984,Boxing,male,USA,Gold, Frank Tate
162,1984,Boxing,male,USA,Gold, Steven D. Mccrory
163,1984,Boxing,male,USA,Gold, Henry Tillman
164,1984,Boxing,male,USA,Gold, Paul Garza Jr. Gonzalez
165,1984,Boxing,male,USA,Gold, Tyrell Biggs
166,1984,Cycling,male,USA,Gold, Alexi S. Grewal
167,1984,Cycling,female,USA,Gold, Helen Constance Carpenter-phinney
168,1984,Cycling,male,USA,Gold, Stephen Edward Hegg
169,1984,Cycling,male,USA,Gold, Mark Brian Gorski
170,1984,Equestrian,male,USA,Gold, John Michael Plumb
171,1984,Equestrian,female,USA,Gold, Karen Elizabeth Stives-lende
172,1984,Equestrian,male,USA,Gold, Torrance Watkins Fleischmann
173,1984,Equestrian,male,USA,Gold, Bruce Oram Davidson
174,1984,Equestrian,male,USA,Gold," Joseph Halpin, Iv Fargis"
175,1984,Equestrian,male,USA,Gold, Conrad E. Homfeld
176,1984,Equestrian,female,USA,Gold, Leslie Michele Burr-howard
177,1984,Equestrian,female,USA,Gold, Melanie Ashworth Smith
178,1984,Equestrian,male,USA,Gold," Joseph Halpin, Iv Fargis"
179,1984,Gymnastics,male,USA,Gold, Scott Philip Johnson
180,1984,Gymnastics,male,USA,Gold, James N. Hartung
181,1984,Gymnastics,male,USA,Gold, Barthold Wayne Conner
182,1984,Gymnastics,male,USA,Gold, Mitchell Jay Gaylord
183,1984,Gymnastics,male,USA,Gold, Peter Glen Vidmar
184,1984,Gymnastics,male,USA,Gold, Barthold Wayne Conner
185,1984,Gymnastics,male,USA,Gold, Timothy Patrick Daggett
186,1984,Gymnastics,male,USA,Gold, Peter Glen Vidmar
187,1984,Gymnastics,female,USA,Gold, Julianne Lyn Mcnamara
188,1984,Gymnastics,female,USA,Gold, Mary-Lou Retton
189,1984,Rowing,female,USA,Gold, Harriet Morris Metcalf
190,1984,Rowing,female,USA,Gold, Caroll Ann Bower
191,1984,Rowing,female,USA,Gold, Kristine Lee Norelius
192,1984,Rowing,female,USA,Gold, Jeanne Ann Flanagan
193,1984,Rowing,female,USA,Gold, Carolyn Brand Graves
194,1984,Rowing,female,USA,Gold, Elizabeth Ann Beard
195,1984,Rowing,male,USA,Gold, Bradley Alan Lewis
196,1984,Rowing,male,USA,Gold, Paul N. Enquist
197,1984,Rowing,female,USA,Gold, Kristen Joy Thorssness
198,1984,Rowing,female,USA,Gold, Shyril O'steen
199,1984,Rowing,female,USA,Gold, Kathryn Elliott Keeler
200,1984,Sailing,male,USA,Gold, Jonathan Dunn Mckee
201,1984,Sailing,male,USA,Gold, Steven Richard Erickson
202,1984,Sailing,male,USA,Gold, Roderick Hopkins Davis
203,1984,Sailing,male,USA,Gold, William E. Sr. Buchan
204,1984,Sailing,male,USA,Gold, Edward Trevelyan
205,1984,Sailing,male,USA,Gold, William Carl Jr. Buchan
206,1984,Sailing,male,USA,Gold, Robert Bentley Jr. Haines
207,1984,Shooting,male,USA,Gold, Edward Etzel
208,1984,Shooting,male,USA,Gold, Matthew Alexander Dryke
209,1984,Shooting,female,USA,Gold, Karen Patricia Spurgin
210,1984,Volleyball,male,USA,Gold, Steve Dennis Timmons
211,1984,Volleyball,male,USA,Gold, Craig Werner Buck
212,1984,Volleyball,male,USA,Gold, Christian Marlowe
213,1984,Volleyball,male,USA,Gold, Richard Lloyd Duwelius
214,1984,Volleyball,male,USA,Gold, David Patrick Saunders
215,1984,Volleyball,male,USA,Gold, Mark Waldie
216,1984,Volleyball,male,USA,Gold, Aldis Imants Berzins
217,1984,Volleyball,male,USA,Gold, Steven Edward Salmons
218,1984,Volleyball,male,USA,Gold, Patrick Robert Powers
219,1984,Volleyball,male,USA,Gold, Douglas Scott Dvorak
220,1984,Volleyball,male,USA,Gold, Paul Benedict Sunderland
221,1984,Volleyball,male,USA,Gold, Charles Kiraly
222,1984,Wrestling,male,USA,Gold, Edward Joseph Banach
223,1984,Wrestling,male,USA,Gold, Robert Brooks Weaver
224,1984,Wrestling,male,USA,Gold, Bruce Robert Baumgartner
225,1984,Wrestling,male,USA,Gold, David Leslie Schultz
226,1984,Wrestling,male,USA,Gold, Randall Scott Lewis
227,1984,Wrestling,male,USA,Gold, Mark Philip Schultz
228,1984,Wrestling,male,USA,Gold, Louis David Banach
229,1984,Wrestling,male,USA,Gold, Steven Howard Fraser
230,1984,Wrestling,male,USA,Gold, Jeffrey Carl Blatnick
231,1988,Aquatics,male,USA,Gold, Gregory Louganis
232,1988,Aquatics,male,USA,Gold, Gregory Louganis
233,1988,Aquatics,female,USA,Gold, Janet Evans
234,1988,Aquatics,male,USA,Gold, Christopher Charles Jacobs
235,1988,Aquatics,male,USA,Gold, David Charles Berkoff
236,1988,Aquatics,male,USA,Gold, Troy Dalbey
237,1988,Aquatics,male,USA,Gold, Douglas S. Gjertsen
238,1988,Aquatics,male,USA,Gold, Troy Dalbey
239,1988,Aquatics,male,USA,Gold, Matthew J. Cetlinski
240,1988,Aquatics,male,USA,Gold, Matthew Biondi
241,1988,Aquatics,male,USA,Gold, Matthew Biondi
242,1988,Aquatics,male,USA,Gold, Christopher Charles Jacobs
243,1988,Aquatics,male,USA,Gold, Matthew Biondi
244,1988,Aquatics,male,USA,Gold, Richard Alan Schroeder
245,1988,Aquatics,male,USA,Gold, Thomas Michael Jager
246,1988,Aquatics,male,USA,Gold, Matthew Biondi
247,1988,Aquatics,female,USA,Gold, Janet Evans
248,1988,Aquatics,male,USA,Gold, Matthew Biondi
249,1988,Aquatics,female,USA,Gold, Janet Evans
250,1988,Archery,male,USA,Gold, Jay Barrs
251,1988,Athletics,female,USA,Gold, Jackie Joyner-kersee
252,1988,Athletics,male,USA,Gold, Harry Butch . Reynolds
253,1988,Athletics,male,USA,Gold, Steve Lewis
254,1988,Athletics,female,USA,Gold, Sheila Echols
255,1988,Athletics,male,USA,Gold, Andre Lamar Phillips
256,1988,Athletics,female,USA,Gold, Alice Regina Brown
257,1988,Athletics,male,USA,Gold, Daniel Everett
258,1988,Athletics,female,USA,Gold, Florence Griffith-joyner
259,1988,Athletics,female,USA,Gold, Dorothy Louise Ritter
260,1988,Athletics,female,USA,Gold, Evelyn Ashford
261,1988,Athletics,male,USA,Gold, Carl Lewis
262,1988,Athletics,male,USA,Gold, Steve Lewis
263,1988,Athletics,male,USA,Gold, Roger Kingdom
264,1988,Athletics,male,USA,Gold, Carl Lewis
265,1988,Athletics,female,USA,Gold, Jackie Joyner-kersee
266,1988,Athletics,male,USA,Gold, Joseph Nathaniel Jr. Deloach
267,1988,Athletics,female,USA,Gold, Florence Griffith-joyner
268,1988,Athletics,female,USA,Gold, Florence Griffith-joyner
269,1988,Athletics,male,USA,Gold, Kevin Bernard Robinzine
270,1988,Basketball,female,USA,Gold, Anne Theresa Donovan
271,1988,Basketball,female,USA,Gold, Andrea Lane Lloyd
272,1988,Basketball,female,USA,Gold, Bridgette C. Gordon
273,1988,Basketball,female,USA,Gold, Katrina Felicia Mcclain
274,1988,Basketball,female,USA,Gold, Suzanne Mcconnell
275,1988,Basketball,female,USA,Gold, Victoria Bullett
276,1988,Basketball,female,USA,Gold, Teresa Weatherspoon
277,1988,Basketball,female,USA,Gold, Jennifer Gillom
278,1988,Basketball,female,USA,Gold, Cynthia Lynne Cooper
279,1988,Basketball,female,USA,Gold, Teresa Edwards
280,1988,Basketball,female,USA,Gold, Cynthia Louise Brown
281,1988,Basketball,female,USA,Gold, Mary Camille Ethridge
282,1988,Boxing,male,USA,Gold, Raymond A. Mercer
283,1988,Boxing,male,USA,Gold, Kennedy Mckinney
284,1988,Boxing,male,USA,Gold, Andrew Lester Maynard
285,1988,Canoe / Kayak,male,USA,Gold, Norman Dean Bellingham
286,1988,Canoe / Kayak,male,USA,Gold, Gregory Mark Barton
287,1988,Canoe / Kayak,male,USA,Gold, Gregory Mark Barton
288,1988,Sailing,female,USA,Gold, Allison Blair Jolly
289,1988,Sailing,female,USA,Gold, Lynne M. Jewell
290,1988,Tennis,male,USA,Gold, Kenneth Flach
291,1988,Tennis,female,USA,Gold, Pamela Howard Shriver
292,1988,Tennis,female,USA,Gold, Zina Garrison
293,1988,Tennis,male,USA,Gold, Robert A. Seguso
294,1988,Volleyball,male,USA,Gold, Steve Dennis Timmons
295,1988,Volleyball,male,USA,Gold, Troy R. Tanner
296,1988,Volleyball,male,USA,Gold, Jonathan Edward Root
297,1988,Volleyball,male,USA,Gold, Scott Thomas Fortune
298,1988,Volleyball,male,USA,Gold, Eric Sato
299,1988,Volleyball,male,USA,Gold, Jeffrey Malcolm Stork
300,1988,Volleyball,male,USA,Gold, David Patrick Saunders
301,1988,Volleyball,male,USA,Gold, Craig Werner Buck
302,1988,Volleyball,male,USA,Gold, Robert Douglas Partie
303,1988,Volleyball,male,USA,Gold, Charles Kiraly
304,1988,Volleyball,male,USA,Gold, Ricci Judson Luyties
305,1988,Volleyball,male,USA,Gold, Robert Jan Ctvrtlik
306,1988,Wrestling,male,USA,Gold, Kenneth Monday
307,1988,Wrestling,male,USA,Gold, John Smith
308,1992,Aquatics,male,USA,Gold, Mark Edward Lenzi
309,1992,Aquatics,female,USA,Gold, Jenny Thompson
310,1992,Aquatics,female,USA,Gold, Nicole Lee Haislett
311,1992,Aquatics,female,USA,Gold, Nicole Lee Haislett
312,1992,Aquatics,male,USA,Gold, Hans Dersch
313,1992,Aquatics,female,USA,Gold, Jenny Thompson
314,1992,Aquatics,male,USA,Gold, Mike Barrowman
315,1992,Aquatics,female,USA,Gold, Megan A. Kleine
316,1992,Aquatics,female,USA,Gold, Elizabeth Wagstaff
317,1992,Aquatics,male,USA,Gold, Melvin Stewart
318,1992,Aquatics,male,USA,Gold, Jon Olsen
319,1992,Aquatics,male,USA,Gold, Joseph Hudepohl
320,1992,Aquatics,female,USA,Gold, Anita Nall
321,1992,Aquatics,female,USA,Gold, Dara Torres
322,1992,Aquatics,female,USA,Gold, Christine Ahmann-leighton
323,1992,Aquatics,male,USA,Gold, Melvin Stewart
324,1992,Aquatics,female,USA,Gold, Summer Sanders
325,1992,Aquatics,male,USA,Gold, Nelson Diebel
326,1992,Aquatics,male,USA,Gold, Jeff Norman Rouse
327,1992,Aquatics,male,USA,Gold, Shaun Jordan
328,1992,Aquatics,male,USA,Gold, Nelson Diebel
329,1992,Aquatics,male,USA,Gold, Pablo Morales
330,1992,Aquatics,female,USA,Gold, Janet Evans
331,1992,Aquatics,male,USA,Gold, Matthew Biondi
332,1992,Aquatics,female,USA,Gold, Christine Ahmann-leighton
333,1992,Aquatics,female,USA,Gold, Nicole Lee Haislett
334,1992,Aquatics,male,USA,Gold, Matthew Biondi
335,1992,Aquatics,female,USA,Gold, Angel Martino
336,1992,Aquatics,male,USA,Gold, Pablo Morales
337,1992,Aquatics,male,USA,Gold, Joel Thomas
338,1992,Aquatics,female,USA,Gold, Ashley T Tappin
339,1992,Aquatics,male,USA,Gold, Thomas Michael Jager
340,1992,Aquatics,female,USA,Gold, Summer Sanders
341,1992,Aquatics,female,USA,Gold, Lea Loveless
342,1992,Aquatics,male,USA,Gold, David Charles Berkoff
343,1992,Aquatics,male,USA,Gold, Jon Olsen
344,1992,Aquatics,female,USA,Gold, Karen Josephson
345,1992,Aquatics,female,USA,Gold, Sarah Josephson
346,1992,Aquatics,female,USA,Gold, Kristen Babb-sprague
347,1992,Athletics,male,USA,Gold, Quincy Watts
348,1992,Athletics,male,USA,Gold, Leroy Burrell
349,1992,Athletics,male,USA,Gold, Mike Conley
350,1992,Athletics,male,USA,Gold, Charles L. Jenkins
351,1992,Athletics,male,USA,Gold, Quincy Watts
352,1992,Athletics,female,USA,Gold, Carlette D. Guidry-white
353,1992,Athletics,female,USA,Gold, Jackie Joyner-kersee
354,1992,Athletics,male,USA,Gold, Michael Johnson
355,1992,Athletics,male,USA,Gold, James Jett
356,1992,Athletics,female,USA,Gold, Evelyn Ashford
357,1992,Athletics,male,USA,Gold, Kevin Curtis Young
358,1992,Athletics,male,USA,Gold, Steve Lewis
359,1992,Athletics,male,USA,Gold, Dennis Mitchell
360,1992,Athletics,male,USA,Gold, Michael Marsh
361,1992,Athletics,female,USA,Gold, Gwen Torrence
362,1992,Athletics,male,USA,Gold, Darnell Hall
